,name,price,km,fuel_type,location
59,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
60,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
61,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
62,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
63,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
64,2022 Porsche Macan R4,"₹98,00,000","3,000 KMs",Petrol,Pune
65,2019 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"₹14,99,999","33,349 KMs",Petrol,Kolkata
66,2019 Hyundai Santro Magna [2018-2020],"₹5,20,000","54,379 KMs",Petrol,Pune
67,2014 Honda City SV CVT,"₹5,40,000","69,200 KMs",Petrol,Mumbai
68,2011 Maruti Suzuki Wagon R 1.0 VXi,"₹2,75,000","28,552 KMs",Petrol,Thane
69,2009 Maruti Suzuki Swift VXi,"₹2,62,810","5,359 KMs",Petrol,Chennai
70,2017 Toyota Fortuner 2.8 4x2 MT [2016-2020],"₹28,50,000","32,000 KMs",Diesel,Delhi
71,2013 Jaguar XF 2.2 Diesel,"₹14,25,000","39,000 KMs",Diesel,Delhi
72,2018 Maruti Suzuki Baleno Alpha Automatic,"₹8,25,000","10,486 KMs",Petrol,Pune
73,2021 Jeep Compass 80 Anniversary 1.4 Petrol DCT,"₹26,00,000","8,888 KMs",Petrol,Mumbai
74,2021 MINI Cooper JCW Hatchback,"₹45,00,000","2,308 KMs",Petrol,Mumbai
75,2018 Honda Jazz VX CVT Petrol,"₹7,95,000","22,673 KMs",Petrol,Mumbai
76,2017 Mahindra KUV100 K4 D 5 STR,"₹4,75,000","33,888 KMs",Diesel,Chennai
77,2016 Hyundai Grand i10 Sports Edition 1.1 CRDi,"₹4,85,000","62,429 KMs",Diesel,Kanpur
78,2015 Maruti Suzuki Swift VDi,"₹5,65,000","49,208 KMs",Diesel,Chennai
79,2014 Mahindra XUV500 W8,"₹7,49,999","63,305 KMs",Diesel,Mumbai
80,2015 Renault Duster 85 PS RxL Diesel (Opt),"₹6,64,999","87,754 KMs",Diesel,Mumbai
81,2019 Hyundai Santro Era Executive [2019-2020],"₹4,90,000","11,802 KMs",Petrol,Kanpur
82,2019 Mercedes-Benz CLA 200 Petrol Sport,"₹32,50,000","24,028 KMs",Petrol,Mumbai
83,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
84,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
85,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
86,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
